title,author,sections,licensor,how_to_license,id
Living Sacrifice,Chris Christian,offertory,CCLI,songselect.ccli.com — verify publisher,living_sacrifice
Great Is Our God,(none listed),entrance,CCLI (verify),Contemporary worship — match lyrics on SongSelect,great_is_god
Here We Are,Don Moen,entrance,CCLI / Integrity Music,songselect.ccli.com,here_we_are
Shine Jesus Shine,(none listed),recessional,CCLI / Make Way Music,Graham Kendrick,shine_jesus_shine
Blessed Be God,(none listed),offertory,CCLI or OneLicense (verify),Match lyrics to publisher,blessed_be_god
Bawat Sandali,Arturo Perez,communion,Composer / local PH,Arturo Perez / local publisher,bawat_sandali
Magsiawit Sa Panginoon,Danny Isidro,entrance,Composer / local PH,Danny Isidro / local publisher,magsiawit_sa_panginoon
Purihin Ang Panginoon,Fr. Leo Nilo,entrance,Composer / local PH,Fr. Leo Nilo / local publisher,purihin_ang_panginoon
Unang Alay,Rey Magnaye,offertory,Composer / local PH,Rey Magnaye / local publisher,unang_alay
Kordero Ng Diyos (arboleda),(none listed),communion,Composer / local PH (Arboleda),Contact composer Arboleda / publisher,kordero_ng_diyos_arboleda
Santo (ramirez),(none listed),meditation,Composer / local PH (Ramirez),Contact composer Ramirez / publisher,santo_ramirez
Tell The World Of His Love,(none listed),recessional,Composer / local PH (Trina Belamide),WYD 1995 anthem — contact songwriter / publisher of record,tell_the_world_of_his_love
Alay Ng Bayan,(none listed),offertory,Composer / local PH (verify),Identify composer/publisher of your version,alay_ng_bayan
Alay Sa Diyos,(none listed),offertory,Composer / local PH (verify),Identify composer/publisher of your version,alay_sa_diyos
Amen (world Youth Day),(none listed),communion,Composer / local PH (verify),WYD Mass setting — identify version,amen_world_youth_day
Amen (wybat),(none listed),communion,Composer / local PH (verify),WYD/WYBAT Mass setting — identify version,amen_wybat
Ang Tanging Alay Ko,(none listed),offertory,Composer / local PH (verify),Classic Filipino offertory — identify publisher of the version you use,ang_tanging_alay_ko
Awit Ng Pagkakaisa,(none listed),entrance,Composer / local PH (verify),Identify composer/publisher of your version,awit_ng_pagkakaisa
Isang Bansa,(none listed),communion,Composer / local PH (verify),Identify composer/publisher of your version,isang_bansa
Isang Pagwiwisik (asperges Me),(none listed),meditation,Composer / local PH (verify),Identify composer/publisher of your version,isang_pagwiwisik_asperges_me
Kapuri-puri Ka,(none listed),offertory,Composer / local PH (verify),Identify composer/publisher of your version,kapuri_puri_ka
My Heart Thanksgiving,(none listed),recessional,Composer / local PH (verify),Identify composer/publisher of your version,my_heart_thanksgiving
Pumasok Kayo,(none listed),entrance,Composer / local PH (verify),Identify composer/publisher of your version,pumasok_kayo
Sumasamo Kami Sa'yo,(none listed),offertory,Composer / local PH (verify),Identify composer/publisher of your version,sumasamo_kami_sa_yo
Take Oh Lord This Offering,(none listed),offertory,Composer / local PH (verify),Identify composer/publisher of your version,take_oh_lord_this_offering
"Tanggapin Mo, Panginoon",(none listed),offertory,Composer / local PH (verify),Identify composer/publisher of your version,tanggapin_mo_panginoon
Tayo'y Magpuri,(none listed),entrance,Composer / local PH (verify),Identify composer/publisher of your version,tayo_y_magpuri
Tinapay At Alak Naming Hatid,(none listed),offertory,Composer / local PH (verify),Identify composer/publisher of your version,tinapay_at_alak_naming_hatid
Alay Namin,Carlo Magno Marcelo,offertory,Composer / local PH publisher,Contact composer or Philippine publisher of record,alay_namin
Kordero Ng Diyos (marcelo),Carlo Magno Marcelo,communion,Composer / local PH publisher,Contact composer or Philippine publisher of record,kordero_ng_diyos_marcelo
"Isang Pagkain, Isang Katawan, Isang Bayan",Lucio San Pedro,offertory,Composer estate / local PH,Estate of Lucio San Pedro,isang_pagkain_isang_katawan_isang_bayan
Eat This Bread,(none listed),communion,GIA / OneLicense,Jacques Berthier / Taizé,eat_this_bread
I Am the Bread of Life,(none listed),"offertory, communion",GIA / OneLicense,Suzanne Toolan,bread_of_life_offertory
"Take, O Take Me As I Am",(none listed),offertory,GIA / OneLicense,John L. Bell / Wild Goose / GIA,take_o_take
Taste and See,(none listed),communion,GIA / OneLicense,James E. Moore Jr. (verify arrangement),taste_and_see
We Are Called,David Haas,recessional,GIA / OneLicense,GIA Publications — onelicense.net,we_are_called
You Are Mine,David Haas,communion,GIA / OneLicense,GIA Publications — onelicense.net,you_are_mine
Ama Namin (bukas Palad),Bukas Palad,meditation,JesCom (Jesuit Communications Foundation),Bukas Palad Music Ministry via JesCom,ama_namin_bukas_palad
Ama Namin (francisco),Manoling Francisco,meditation,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,ama_namin_francisco
Ama Namin (hontiveros),Eduardo Hontiveros,meditation,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,ama_namin_hontiveros
Amare Et Servire,(none listed),communion,JesCom (Jesuit Communications Foundation),Bukas Palad — JesCom,amare_wt_servire
Aming Ipinahahayag,(none listed),communion,JesCom (Jesuit Communications Foundation),likely Jesuit Mass setting — verify,aming_ipinahahayag
Anima Christi,(none listed),communion,JesCom (Jesuit Communications Foundation),Manoling Francisco / Bukas Palad — JesCom (not PD Latin text arrangement),anima_christi
Awit Ng Paghahangad,Charlie Cenzon,communion,JesCom (Jesuit Communications Foundation),via JesCom,awit_ng_paghahangad
Balang Araw,Manoling Francisco,entrance,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,balang_araw
"Bayan, Magsiawit Na!",Arnel Aquino,entrance,JesCom (Jesuit Communications Foundation),Jesuit Music Ministry via JesCom,bayan_magsiawit_na
Buksan Ang Aming Puso,Eduardo Hontiveros,entrance,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,buksan_ang_aming_puso
Christify,(none listed),offertory,JesCom (Jesuit Communications Foundation),Manoling Francisco — JesCom,christify
Confidite Ego Vici Mundum,(none listed),meditation,JesCom (Jesuit Communications Foundation),Hangad / JesCom — verify,confidite_ego_vici_mundum
Covenant Journey,(none listed),recessional,JesCom (Jesuit Communications Foundation),Hangad / JesCom — verify,covenant_journey
Dakilang Amen (francisco),Manoling Francisco,communion,JesCom (Jesuit Communications Foundation),https://www.jescom.ph / Jesuit Music Ministry licensing,dakilang_amen_francisco
