title	author	licensor	sections
Living Sacrifice	Chris Christian	CCLI	offertory
Great Is Our God	(none listed)	CCLI (verify)	entrance
Here We Are	Don Moen	CCLI / Integrity Music	entrance
Shine Jesus Shine	(none listed)	CCLI / Make Way Music	recessional
Blessed Be God	(none listed)	CCLI or OneLicense (verify)	offertory
Bawat Sandali	Arturo Perez	Composer / local PH	communion
Magsiawit Sa Panginoon	Danny Isidro	Composer / local PH	entrance
Purihin Ang Panginoon	Fr. Leo Nilo	Composer / local PH	entrance
Unang Alay	Rey Magnaye	Composer / local PH	offertory
Kordero Ng Diyos (arboleda)	(none listed)	Composer / local PH (Arboleda)	communion
Santo (ramirez)	(none listed)	Composer / local PH (Ramirez)	meditation
Tell The World Of His Love	(none listed)	Composer / local PH (Trina Belamide)	recessional
Alay Ng Bayan	(none listed)	Composer / local PH (verify)	offertory
Alay Sa Diyos	(none listed)	Composer / local PH (verify)	offertory
Amen (world Youth Day)	(none listed)	Composer / local PH (verify)	communion
Amen (wybat)	(none listed)	Composer / local PH (verify)	communion
Ang Tanging Alay Ko	(none listed)	Composer / local PH (verify)	offertory
Awit Ng Pagkakaisa	(none listed)	Composer / local PH (verify)	entrance
Isang Bansa	(none listed)	Composer / local PH (verify)	communion
Isang Pagwiwisik (asperges Me)	(none listed)	Composer / local PH (verify)	meditation
Kapuri-puri Ka	(none listed)	Composer / local PH (verify)	offertory
My Heart Thanksgiving	(none listed)	Composer / local PH (verify)	recessional
Pumasok Kayo	(none listed)	Composer / local PH (verify)	entrance
Sumasamo Kami Sa'yo	(none listed)	Composer / local PH (verify)	offertory
Take Oh Lord This Offering	(none listed)	Composer / local PH (verify)	offertory
Tanggapin Mo, Panginoon	(none listed)	Composer / local PH (verify)	offertory
Tayo'y Magpuri	(none listed)	Composer / local PH (verify)	entrance
Tinapay At Alak Naming Hatid	(none listed)	Composer / local PH (verify)	offertory
Alay Namin	Carlo Magno Marcelo	Composer / local PH publisher	offertory
Kordero Ng Diyos (marcelo)	Carlo Magno Marcelo	Composer / local PH publisher	communion
Isang Pagkain, Isang Katawan, Isang Bayan	Lucio San Pedro	Composer estate / local PH	offertory
Eat This Bread	(none listed)	GIA / OneLicense	communion
I Am the Bread of Life	(none listed)	GIA / OneLicense	offertory, communion
Take, O Take Me As I Am	(none listed)	GIA / OneLicense	offertory
Taste and See	(none listed)	GIA / OneLicense	communion
We Are Called	David Haas	GIA / OneLicense	recessional
You Are Mine	David Haas	GIA / OneLicense	communion
Ama Namin (bukas Palad)	Bukas Palad	JesCom (Jesuit Communications Foundation)	meditation
Ama Namin (francisco)	Manoling Francisco	JesCom (Jesuit Communications Foundation)	meditation
Ama Namin (hontiveros)	Eduardo Hontiveros	JesCom (Jesuit Communications Foundation)	meditation
Amare Et Servire	(none listed)	JesCom (Jesuit Communications Foundation)	communion
Aming Ipinahahayag	(none listed)	JesCom (Jesuit Communications Foundation)	communion
Anima Christi	(none listed)	JesCom (Jesuit Communications Foundation)	communion
Awit Ng Paghahangad	Charlie Cenzon	JesCom (Jesuit Communications Foundation)	communion
Balang Araw	Manoling Francisco	JesCom (Jesuit Communications Foundation)	entrance
Bayan, Magsiawit Na!	Arnel Aquino	JesCom (Jesuit Communications Foundation)	entrance
Buksan Ang Aming Puso	Eduardo Hontiveros	JesCom (Jesuit Communications Foundation)	entrance
Christify	(none listed)	JesCom (Jesuit Communications Foundation)	offertory
Confidite Ego Vici Mundum	(none listed)	JesCom (Jesuit Communications Foundation)	meditation
